"ds","y"
2007-12-10,14629
2007-12-11,5012
2007-12-12,3582
2007-12-13,3205
2007-12-14,2680
2007-12-15,2401
2007-12-16,4510
2007-12-17,6831
2007-12-18,4370
2007-12-19,3196
2007-12-20,2642
2007-12-21,2349
2007-12-22,1862
2007-12-23,4382
2007-12-24,5542
2007-12-25,2572
2007-12-26,2576
2007-12-27,3140
2007-12-28,2770
2007-12-29,2536
2007-12-30,16369
2007-12-31,11920
2008-01-01,3999
2008-01-02,4604
2008-01-03,3874
2008-01-04,3317
2008-01-05,2836
2008-01-06,13484
2008-01-07,6952
2008-01-08,4585
2008-01-09,3821
2008-01-10,3951
2008-01-11,3995
2008-01-12,3638
2008-01-13,21950
2008-01-14,25011
2008-01-15,7584
2008-01-16,5251
2008-01-17,5155
2008-01-18,4446
2008-01-19,3726
2008-01-20,6898
2008-01-21,54025
2008-01-22,12644
2008-01-23,7505
2008-01-24,5133
2008-01-25,4893
2008-01-26,4525
2008-01-27,5285
2008-01-28,6226
2008-01-29,5620
2008-01-30,5846
2008-02-01,6797
2008-02-02,5105
2008-02-03,16286
2008-02-04,179415
2008-02-05,41576
2008-02-06,16183
2008-02-07,11110
2008-02-08,7870
2008-02-09,5373
2008-02-10,5527
2008-02-11,5521
2008-02-12,3698
2008-02-13,3181
2008-02-14,3339
2008-02-15,2439
2008-02-16,2054
2008-02-17,1912
2008-02-18,2234
2008-02-19,2413
2008-02-20,2227
2008-02-21,2365
2008-02-22,2198
2008-02-23,1601
2008-02-24,2726
2008-02-25,2052
2008-02-26,1946
2008-02-27,1935
2008-02-29,1905
2008-03-02,1536
2008-03-05,3377
2008-03-06,2664
2008-03-07,2489
2008-03-08,1610
2008-03-09,2476
2008-03-10,1886
2008-03-11,1898
2008-03-12,2184
2008-03-13,1767
2008-03-14,1570
2008-03-15,1133
2008-03-16,1234
2008-03-17,1556
2008-03-18,1520
2008-03-19,1578
2008-03-20,1448
2008-03-21,1410
2008-03-22,1099
2008-03-23,1292
2008-03-24,2343
2008-03-25,1842
2008-03-26,1659
2008-03-27,1707
2008-03-28,1378
2008-03-29,1087
2008-03-30,1355
2008-03-31,1497
2008-04-01,1555
2008-04-02,1834
2008-04-03,1625
2008-04-04,1460
2008-04-05,1441
2008-04-06,1298
